EB Cry ( 0 events) was calibrated to avg: -66, 301, hash: 7140	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -66, 302, hash: 7141	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -66, 303, hash: 7142	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -66, 304, hash: 7143	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -66, 305, hash: 7144	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -63, 189, hash: 8108	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -62, 304, hash: 8583	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -58, 351, hash: 10070	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -57, 142, hash: 10221	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -56, 100, hash: 10539	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 103, hash: 10902	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 126, hash: 10925	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 127, hash: 10926	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 128, hash: 10927	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 129, hash: 10928	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 130, hash: 10929	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 181, hash: 10980	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 182, hash: 10981	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 183, hash: 10982	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 184, hash: 10983	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -55, 185, hash: 10984	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 126, hash: 11285	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 127, hash: 11286	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 128, hash: 11287	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 129, hash: 11288	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 130, hash: 11289	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 181, hash: 11340	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 182, hash: 11341	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 183, hash: 11342	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 184, hash: 11343	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -54, 185, hash: 11344	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 126, hash: 11645	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 127, hash: 11646	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 128, hash: 11647	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 129, hash: 11648	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 130, hash: 11649	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 181, hash: 11700	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 182, hash: 11701	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 183, hash: 11702	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 184, hash: 11703	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -53, 185, hash: 11704	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 126, hash: 12005	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 127, hash: 12006	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 128, hash: 12007	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 129, hash: 12008	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 130, hash: 12009	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 181, hash: 12060	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 182, hash: 12061	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 183, hash: 12062	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 184, hash: 12063	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -52, 185, hash: 12064	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 17, hash: 12256	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 126, hash: 12365	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 127, hash: 12366	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 128, hash: 12367	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 129, hash: 12368	 Calib: -1	 Error: -1
